# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000003 033333.3  004352 000012.8 00003 000103 001.0 003.5  002304 000006.8 00001 000103 001.0 003.5  001280 000003.8 00000 000103 001.0 003.5
000000004 025000.0  004352 000017.0 00004 000102 001.0 003.5  002304 000009.0 00002 000103 001.0 003.5  001280 000005.0 00001 000103 001.0 003.5
000000005 020000.0  004352 000021.2 00005 000103 001.0 003.5  002304 000011.2 00002 000102 001.0 003.5  001280 000006.2 00001 000104 001.0 003.5
000000006 016666.7  004352 000025.5 00006 000103 001.0 003.5  002304 000013.5 00003 000103 001.0 003.5  001280 000007.5 00001 000103 001.0 003.5
000000008 012500.0  004352 000034.0 00008 000103 001.0 003.5  002304 000018.0 00004 000103 001.0 003.5  001280 000010.0 00002 000103 001.0 003.5
000000010 010000.0  004352 000042.5 00010 000103 001.0 003.5  002304 000022.5 00005 000103 001.0 003.5  001280 000012.5 00003 000103 001.0 003.5
000000012 008333.3  004352 000051.0 00012 000103 001.0 003.5  002304 000027.0 00006 000103 001.0 003.5  001280 000015.0 00003 000103 001.0 003.5
000000016 006250.0  004352 000068.0 00017 000103 001.0 003.5  002304 000036.0 00009 000103 001.0 003.5  001280 000020.0 00005 000103 001.0 003.5
000000020 005000.0  004352 000085.0 00021 000103 001.0 003.5  002304 000045.0 00011 000103 001.0 003.5  001280 000025.0 00006 000103 001.0 003.5
000000024 004166.7  004352 000102.0 00025 000103 001.0 003.5  002304 000054.0 00013 000103 001.0 003.5  001280 000030.0 00007 000103 001.0 003.5
000000032 003125.0  004352 000136.0 00034 000103 001.0 003.5  002304 000072.0 00018 000103 001.0 003.5  001280 000040.0 00010 000103 001.0 003.5
000000040 002500.0  004352 000170.0 00042 000103 001.0 003.5  002304 000090.0 00022 000103 001.0 003.5  001280 000050.0 00012 000103 001.0 003.5
000000048 002083.3  004352 000204.0 00051 000103 001.0 003.5  002304 000108.0 00027 000103 001.0 003.5  001280 000060.0 00015 000103 001.0 003.5
000000064 001562.5  004352 000272.0 00068 000111 001.1 003.8  002304 000144.0 00036 000103 001.0 003.5  001280 000080.0 00020 000103 001.0 003.5
000000080 001250.0  004352 000340.0 00085 000309 003.1 010.5  002304 000180.0 00045 000104 001.0 003.5  001280 000100.0 00025 000103 001.0 003.5
000000096 001041.7  004352 000408.0 00102 000313 003.1 010.6  002304 000216.0 00054 000103 001.0 003.5  001280 000120.0 00030 000152 001.5 005.2
000000128 000781.2  004352 000544.0 00136 000309 003.1 010.5  002304 000288.0 00072 000277 002.8 009.4  001280 000160.0 00040 000259 002.6 008.8
000000160 000625.0  004352 000680.0 00170 000516 005.2 017.5  002304 000360.0 00090 000425 004.2 014.4  001280 000200.0 00050 000311 003.1 010.6
000000192 000520.8  004352 000816.0 00204 000514 005.1 017.5  002304 000432.0 00108 000426 004.3 014.5  001280 000240.0 00060 000317 003.2 010.8
000000256 000390.6  004352 001088.0 00272 000514 005.1 017.5  002304 000576.0 00144 000426 004.3 014.5  001280 000320.0 00080 000421 004.2 014.3
