# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000.8 00000  512 000000001 100000.0 000103 001.0 003.5  256 000000003 033333.3 000103 001.0 003.5  128 000000006 016666.7 000103 001.0 003.5  064 000000012 008333.3 000103 001.0 003.5  032 000000024 004166.7 000103 001.0 003.5  016 000000048 002083.3 000102 001.0 003.5  008 000000096 001041.7 000103 001.0 003.5
000001.0 00000  512 000000002 050000.0 000103 001.0 003.5  256 000000004 025000.0 000103 001.0 003.5  128 000000008 012500.0 000103 001.0 003.5  064 000000016 006250.0 000103 001.0 003.5  032 000000032 003125.0 000103 001.0 003.5  016 000000064 001562.5 000103 001.0 003.5  008 000000128 000781.2 000103 001.0 003.5
000001.2 00000  512 000000002 050000.0 000103 001.0 003.5  256 000000005 020000.0 000103 001.0 003.5  128 000000010 010000.0 000103 001.0 003.5  064 000000020 005000.0 000103 001.0 003.5  032 000000040 002500.0 000103 001.0 003.5  016 000000080 001250.0 000103 001.0 003.5  008 000000160 000625.0 000103 001.0 003.5
000001.5 00000  512 000000003 033333.3 000103 001.0 003.5  256 000000006 016666.7 000103 001.0 003.5  128 000000012 008333.3 000103 001.0 003.5  064 000000024 004166.7 000103 001.0 003.5  032 000000048 002083.3 000103 001.0 003.5  016 000000096 001041.7 000103 001.0 003.5  008 000000192 000520.8 000103 001.0 003.5
000002.0 00000  512 000000004 025000.0 000103 001.0 003.5  256 000000008 012500.0 000103 001.0 003.5  128 000000016 006250.0 000103 001.0 003.5  064 000000032 003125.0 000103 001.0 003.5  032 000000064 001562.5 000103 001.0 003.5  016 000000128 000781.2 000103 001.0 003.5  008 000000256 000390.6 000103 001.0 003.5
000002.5 00000  512 000000005 020000.0 000103 001.0 003.5  256 000000010 010000.0 000103 001.0 003.5  128 000000020 005000.0 000103 001.0 003.5  064 000000040 002500.0 000103 001.0 003.5  032 000000080 001250.0 000103 001.0 003.5  016 000000160 000625.0 000103 001.0 003.5  008 000000320 000312.5 000103 001.0 003.5
000003.0 00000  512 000000006 016666.7 000103 001.0 003.5  256 000000012 008333.3 000103 001.0 003.5  128 000000024 004166.7 000103 001.0 003.5  064 000000048 002083.3 000103 001.0 003.5  032 000000096 001041.7 000103 001.0 003.5  016 000000192 000520.8 000103 001.0 003.5  008 000000384 000260.4 000103 001.0 003.5
000004.0 00001  512 000000008 012500.0 000103 001.0 003.5  256 000000016 006250.0 000103 001.0 003.5  128 000000032 003125.0 000103 001.0 003.5  064 000000064 001562.5 000103 001.0 003.5  032 000000128 000781.2 000103 001.0 003.5  016 000000256 000390.6 000103 001.0 003.5  008 000000512 000195.3 000103 001.0 003.5
000005.0 00001  512 000000010 010000.0 000103 001.0 003.5  256 000000020 005000.0 000103 001.0 003.5  128 000000040 002500.0 000103 001.0 003.5  064 000000080 001250.0 000103 001.0 003.5  032 000000160 000625.0 000103 001.0 003.5  016 000000320 000312.5 000103 001.0 003.5  008 000000640 000156.2 000103 001.0 003.5
000006.0 00001  512 000000012 008333.3 000103 001.0 003.5  256 000000024 004166.7 000103 001.0 003.5  128 000000048 002083.3 000103 001.0 003.5  064 000000096 001041.7 000103 001.0 003.5  032 000000192 000520.8 000103 001.0 003.5  016 000000384 000260.4 000103 001.0 003.5  008 000000768 000130.2 000103 001.0 003.5
000008.0 00002  512 000000016 006250.0 000104 001.0 003.5  256 000000032 003125.0 000105 001.1 003.6  128 000000064 001562.5 000104 001.0 003.5  064 000000128 000781.2 000104 001.0 003.5  032 000000256 000390.6 000104 001.0 003.5  016 000000512 000195.3 000104 001.0 003.5  008 000001024 000097.7 000103 001.0 003.5
000010.0 00002  512 000000020 005000.0 000103 001.0 003.5  256 000000040 002500.0 000104 001.0 003.5  128 000000080 001250.0 000106 001.1 003.6  064 000000160 000625.0 000104 001.0 003.5  032 000000320 000312.5 000105 001.1 003.6  016 000000640 000156.2 000105 001.1 003.6  008 000001280 000078.1 000104 001.0 003.5
000012.0 00003  512 000000024 004166.7 000104 001.0 003.5  256 000000048 002083.3 000104 001.0 003.5  128 000000096 001041.7 000104 001.0 003.5  064 000000192 000520.8 000104 001.0 003.5  032 000000384 000260.4 000104 001.0 003.5  016 000000768 000130.2 000104 001.0 003.5  008 000001536 000065.1 000105 001.1 003.6
000016.0 00004  512 000000032 003125.0 000104 001.0 003.5  256 000000064 001562.5 000104 001.0 003.5  128 000000128 000781.2 000104 001.0 003.5  064 000000256 000390.6 000105 001.1 003.6  032 000000512 000195.3 000103 001.0 003.5  016 000001024 000097.7 000103 001.0 003.5  008 000002048 000048.8 000103 001.0 003.5
000020.0 00005  512 000000040 002500.0 000103 001.0 003.5  256 000000080 001250.0 000103 001.0 003.5  128 000000160 000625.0 000103 001.0 003.5  064 000000320 000312.5 000103 001.0 003.5  032 000000640 000156.2 000103 001.0 003.5  016 000001280 000078.1 000103 001.0 003.5  008 000002560 000039.1 000104 001.0 003.5
000024.0 00006  512 000000048 002083.3 000103 001.0 003.5  256 000000096 001041.7 000103 001.0 003.5  128 000000192 000520.8 000103 001.0 003.5  064 000000384 000260.4 000103 001.0 003.5  032 000000768 000130.2 000105 001.1 003.6  016 000001536 000065.1 000104 001.0 003.5  008 000003072 000032.6 000103 001.0 003.5
000032.0 00008  512 000000064 001562.5 000103 001.0 003.5  256 000000128 000781.2 000103 001.0 003.5  128 000000256 000390.6 000107 001.1 003.6  064 000000512 000195.3 000107 001.1 003.6  032 000001024 000097.7 000105 001.1 003.6  016 000002048 000048.8 000104 001.0 003.5  008 000004096 000024.4 000104 001.0 003.5
000040.0 00010  512 000000080 001250.0 000309 003.1 010.5  256 000000160 000625.0 000312 003.1 010.6  128 000000320 000312.5 000312 003.1 010.6  064 000000640 000156.2 000306 003.1 010.4  032 000001280 000078.1 000229 002.3 007.8  016 000002560 000039.1 000141 001.4 004.8  008 000005120 000019.5 000112 001.1 003.8
000048.0 00012  512 000000096 001041.7 000310 003.1 010.5  256 000000192 000520.8 000309 003.1 010.5  128 000000384 000260.4 000345 003.5 011.7  064 000000768 000130.2 000308 003.1 010.5  032 000001536 000065.1 000229 002.3 007.8  016 000003072 000032.6 000143 001.4 004.9  008 000006144 000016.3 000113 001.1 003.8
000064.0 00016  512 000000128 000781.2 000310 003.1 010.5  256 000000256 000390.6 000311 003.1 010.6  128 000000512 000195.3 000352 003.5 012.0  064 000001024 000097.7 000308 003.1 010.5  032 000002048 000048.8 000230 002.3 007.8  016 000004096 000024.4 000142 001.4 004.8  008 000008192 000012.2 000112 001.1 003.8
000080.0 00020  512 000000160 000625.0 000309 003.1 010.5  256 000000320 000312.5 000308 003.1 010.5  128 000000640 000156.2 000420 004.2 014.3  064 000001280 000078.1 000308 003.1 010.5  032 000002560 000039.1 000230 002.3 007.8  016 000005120 000019.5 000142 001.4 004.8  008 000010240 000009.8 000113 001.1 003.8
000096.0 00024  512 000000192 000520.8 000308 003.1 010.5  256 000000384 000260.4 000309 003.1 010.5  128 000000768 000130.2 000424 004.2 014.4  064 000001536 000065.1 000308 003.1 010.5  032 000003072 000032.6 000230 002.3 007.8  016 000006144 000016.3 000141 001.4 004.8  008 000012288 000008.1 000112 001.1 003.8
000128.0 00032  512 000000256 000390.6 000515 005.2 017.5  256 000000512 000195.3 000515 005.2 017.5  128 000001024 000097.7 000471 004.7 016.0  064 000002048 000048.8 000313 003.1 010.6  032 000004096 000024.4 000229 002.3 007.8  016 000008192 000012.2 000148 001.5 005.0  008 000016384 000006.1 000114 001.1 003.9
000160.0 00040  512 000000320 000312.5 000506 005.1 017.2  256 000000640 000156.2 000508 005.1 017.3  128 000001280 000078.1 000494 004.9 016.8  064 000002560 000039.1 000313 003.1 010.6  032 000005120 000019.5 000230 002.3 007.8  016 000010240 000009.8 000146 001.5 005.0  008 000020480 000004.9 000115 001.1 003.9
